id,name,state,min_x,min_y,max_x,max_y
1,Flensburg,Schleswig-Holstein,9.203530831,54.66211577,9.662107162,54.91402636
2,Kiel,Schleswig-Holstein,9.879210663,54.16109471,10.37217192,54.52198294
3,Lübeck,Schleswig-Holstein,10.40286209,53.67934243,11.12028566,54.08329831
4,Neumünster,Schleswig-Holstein,9.772783721,53.92782233,10.2110422,54.23946127
5,Brunsbüttel,Schleswig-Holstein,8.866466832,53.79743267,9.366087801,54.0403834
6,Heide,Schleswig-Holstein,8.899443759,54.07137933,9.364213232,54.30816253
7,Averlak,Schleswig-Holstein,9.011413088,53.8296727,9.380988385,54.04857166
8,Brickeln,Schleswig-Holstein,9.052612016,53.90827286,9.429423638,54.11137411
9,Buchholz,Schleswig-Holstein,9.031512527,53.8631418,9.415399153,54.0897873
10,Burg (Dithmarschen),Schleswig-Holstein,9.089026351,53.87959339,9.450798355,54.10481298
11,Dingen,Schleswig-Holstein,8.93373736,53.85517546,9.324341505,54.07015664
12,Eddelak,Schleswig-Holstein,8.952791632,53.83946207,9.3407619,54.056403
13,Eggstedt,Schleswig-Holstein,9.082042485,53.94470441,9.441890886,54.16835179
14,Frestedt,Schleswig-Holstein,9.000964587,53.91623562,9.355374054,54.14604032
15,Großenrade,Schleswig-Holstein,9.049203132,53.92290769,9.430277019,54.13305245
16,Hochdonn,Schleswig-Holstein,9.114253212,53.91337594,9.457203892,54.12795596
17,Kuden,Schleswig-Holstein,9.006109164,53.85254534,9.395384688,54.08203616
18,Quickborn,Schleswig-Holstein,9.008179723,53.89099844,9.371749408,54.10800874
19,Sankt Michaelisdonn,Schleswig-Holstein,8.927392175,53.87373321,9.318274449,54.10738257
20,Süderhastedt,Schleswig-Holstein,9.008731255,53.93881158,9.397377675,54.16701642
21,Diekhusen-Fahrstedt,Schleswig-Holstein,8.846288518,53.83410686,9.21580511,54.04670919
22,Friedrichskoog,Schleswig-Holstein,8.526118987,53.86203227,9.128879154,54.15947467
23,Helse,Schleswig-Holstein,8.83411818,53.86513359,9.206318759,54.08083805
24,Kaiser-Wilhelm-Koog,Schleswig-Holstein,8.740801978,53.82225592,9.124607201,54.04762454
25,Kronprinzenkoog,Schleswig-Holstein,8.785993171,53.82689349,9.156618678,54.12695067
26,Marne,Schleswig-Holstein,8.839641428,53.85163661,9.197540292,54.05442836
27,Marnerdeich,Schleswig-Holstein,8.828777238,53.85244581,9.15207027,54.04733821
28,Neufeld,Schleswig-Holstein,8.825094313,53.81615136,9.236400204,54.03534724
29,Neufelderkoog,Schleswig-Holstein,8.789456849,53.79843871,9.170805248,54.01001195
30,Ramhusen,Schleswig-Holstein,8.911113137,53.8398948,9.262802755,54.04282354
31,Schmedeswurth,Schleswig-Holstein,8.859531237,53.82205858,9.223442308,54.03441478
32,Trennewurth,Schleswig-Holstein,8.841837639,53.89743984,9.198925694,54.11432764
33,Volsemenhusen,Schleswig-Holstein,8.884649204,53.858287,9.267853313,54.08769732
34,Barkenholm,Schleswig-Holstein,9.010157639,54.12225425,9.350822748,54.33457192
35,Bergewöhrden,Schleswig-Holstein,9.039996804,54.21983264,9.379978668,54.41646625
36,Dellstedt,Schleswig-Holstein,9.182578312,54.13131126,9.597855054,54.35856565
37,Delve,Schleswig-Holstein,9.065509294,54.18786565,9.437877648,54.43679281
38,Dörpling,Schleswig-Holstein,9.133289789,54.15415727,9.499913551,54.36686304
39,Fedderingen,Schleswig-Holstein,8.923619547,54.17279846,9.312210931,54.3870347
40,Gaushorn,Schleswig-Holstein,9.037391361,54.08914866,9.396743617,54.30559331
41,Glüsing,Schleswig-Holstein,9.047620284,54.16675655,9.404329116,54.36947202
42,Groven,Schleswig-Holstein,8.827445768,54.2045106,9.175143662,54.42840322
43,Hemme,Schleswig-Holstein,8.794018166,54.15865245,9.198108289,54.39030551
44,Hennstedt,Schleswig-Holstein,8.991558403,54.17635569,9.358742734,54.42455374
45,Hövede,Schleswig-Holstein,9.122811635,54.14193729,9.462846248,54.33955492
46,Hollingstedt,Schleswig-Holstein,9.046424343,54.18721308,9.398526826,54.41709795
47,Karolinenkoog,Schleswig-Holstein,8.754858298,54.17545483,9.138685569,54.41352478
48,Kleve,Schleswig-Holstein,8.956575755,54.19751375,9.307111486,54.4413789
49,Krempel,Schleswig-Holstein,8.855251931,54.21847685,9.220328057,54.41470426
50,Lehe,Schleswig-Holstein,8.827661183,54.24320584,9.218496549,54.4688111
51,Linden,Schleswig-Holstein,9.006738334,54.1441044,9.386029651,54.35908628
52,Lunden,Schleswig-Holstein,8.858883319,54.23066089,9.217963987,54.42700067
53,Norderheistedt,Schleswig-Holstein,8.954675534,54.14982152,9.319099653,54.34997188
54,Pahlen,Schleswig-Holstein,9.097647658,54.15964799,9.494535449,54.37437276
55,Rehm-Flehde-Bargen,Schleswig-Holstein,8.855641322,54.18316291,9.240053806,54.40107313
56,Sankt Annen,Schleswig-Holstein,8.890480553,54.23021109,9.277939465,54.45989978
57,Schalkholz,Schleswig-Holstein,9.055670533,54.13518214,9.432975886,54.36763329
58,Schlichting,Schleswig-Holstein,8.91230448,54.19988638,9.272735923,54.42724775
59,Tellingstedt,Schleswig-Holstein,9.031351152,54.09905381,9.49216808,54.33571426
60,Tielenhemme,Schleswig-Holstein,9.185893871,54.15796864,9.557540362,54.38415655
61,Wallen,Schleswig-Holstein,9.097439376,54.18583222,9.436940264,54.37862952
62,Welmbüttel,Schleswig-Holstein,9.051160324,54.09699693,9.438131124,54.30881832
63,Westerborstel,Schleswig-Holstein,9.071307666,54.11855218,9.421364264,54.31861953
64,Wiemerstedt,Schleswig-Holstein,8.940575617,54.16655114,9.299903293,54.36692065
65,Wrohm,Schleswig-Holstein,9.205671206,54.11133116,9.592854586,54.32234615
66,Süderdorf,Schleswig-Holstein,9.140419967,54.09861136,9.589263711,54.32727897
67,Süderheistedt,Schleswig-Holstein,8.969239041,54.12857139,9.325414578,54.35603803
68,Hemmingstedt,Schleswig-Holstein,8.889871203,54.0416212,9.287715022,54.26459515
69,Lieth,Schleswig-Holstein,8.888167839,54.05596811,9.23684902,54.2586129
70,Lohe-Rickelshof,Schleswig-Holstein,8.893907142,54.07789873,9.237453497,54.28947234
71,Neuenkirchen,Schleswig-Holstein,8.79668405,54.11558487,9.205405061,54.35044715
72,Norderwöhrden,Schleswig-Holstein,8.797325629,54.08029047,9.208975955,54.30155217
73,Nordhastedt,Schleswig-Holstein,8.974811327,54.03545605,9.399403422,54.28281369
74,Ostrohe,Schleswig-Holstein,8.952600093,54.11300094,9.31954646,54.33328293
75,Stelle-Wittenwurth,Schleswig-Holstein,8.879380289,54.14680257,9.248712851,54.36957277
