service_id,exception_type,date
1,2,20240507
1,2,20240508
1,2,20240509
1,2,20240519
1,2,20240520
10,1,20240512
10,1,20240520
100,2,20240603
10000,2,20240515
10001,2,20240518
10002,1,20240506
10002,1,20240517
10003,1,20240526
10004,1,20240511
10004,1,20240523
10004,1,20240524
10005,1,20240519
10005,1,20240526
10005,2,20240520
10005,2,20240530
10006,1,20240506
10006,1,20240507
10006,1,20240508
10006,1,20240509
10008,1,20240523
10008,1,20240527
10008,1,20240528
10008,1,20240530
10008,2,20240529
10008,2,20240531
10009,1,20240507
10009,1,20240604
1001,1,20240516
1001,1,20240523
1001,2,20240521
10010,1,20240508
10010,1,20240515
10010,2,20240530
10010,2,20240602
10011,1,20240510
10011,1,20240511
10011,1,20240515
10011,1,20240522
10011,2,20240519
10013,2,20240520
10014,1,20240530
10014,2,20240512
10015,1,20240509
10015,1,20240520
10015,2,20240518
10015,2,20240519
10017,1,20240509
10017,1,20240520
10018,1,20240520
10018,1,20240521
10018,1,20240522
10018,1,20240524
10018,1,20240528
10018,2,20240516
10019,2,20240521
10019,2,20240531
10019,2,20240602
1002,1,20240519
1002,1,20240526
1002,1,20240527
1002,1,20240603
1002,2,20240521
1002,2,20240522
1002,2,20240523
1002,2,20240524
1002,2,20240601
10020,1,20240510
10020,1,20240517
10020,1,20240519
10020,1,20240530
10021,1,20240505
10021,1,20240521
10021,2,20240509
10021,2,20240520
10022,1,20240506
10022,1,20240507
10022,2,20240520
10022,2,20240530
10023,1,20240525
10023,1,20240526
10025,1,20240509
10025,1,20240520
10025,1,20240530
10025,2,20240511
10026,1,20240519
10028,2,20240531
10029,1,20240516
10029,1,20240523
10029,2,20240520
10029,2,20240521
10029,2,20240531
1003,1,20240516
1003,1,20240523
1003,2,20240520
10031,1,20240509
10031,1,20240520
10031,1,20240530
10031,2,20240528
10032,2,20240508
10033,2,20240528
10033,2,20240529
10034,1,20240529
10034,1,20240531
10034,1,20240603
10034,1,20240604
10035,2,20240530
10036,1,20240525
10037,1,20240511
10037,1,20240512
10037,1,20240513
10037,1,20240524
10038,1,20240509
10038,1,20240530
10038,2,20240506
10038,2,20240531
10039,1,20240530
10039,2,20240512
10039,2,20240531
1004,1,20240509
1004,1,20240516
1004,1,20240523
1004,1,20240527
1004,1,20240528
1004,1,20240529
10040,2,20240508
10041,1,20240505
10041,1,20240506
10041,1,20240512
10041,1,20240513
10041,1,20240523
10041,2,20240520
10041,2,20240602
10042,2,20240530
10042,2,20240531
10044,1,20240511
10044,1,20240518
10044,1,20240520
10044,2,20240523
10045,1,20240505
10045,1,20240509
