"route_id","agency_id","route_short_name","route_long_name","route_type","route_color","route_text_color","route_desc"
"6301472_3",12751,"72P","",3,"","",""
"6301471_3",12751,"74","",3,"","",""
"6301470_3",12751,"73","",3,"","",""
"6301466_0",7500,"8","",0,"","",""
"6301465_3",12751,"76","",3,"","",""
"6301464_3",12751,"72","",3,"","",""
"6301462_3",12751,"71","",3,"","",""
"6301461_3",12751,"70","",3,"","",""
"6301459_0",7500,"6","",0,"","",""
"6301458_0",7500,"4","",0,"","",""
"6301457_0",7500,"3","",0,"","",""
"6301456_0",7500,"2","",0,"","",""
"6301455_0",7500,"1","",0,"","",""
"6301454_3",7499,"94","",3,"","",""
"6301453_3",7499,"93","",3,"","",""
"6301452_3",7499,"92","",3,"","",""
"6301451_3",7499,"91","",3,"","",""
"6301450_3",7499,"90","",3,"","",""
"6301449_3",7499,"48","",3,"","",""
"6301448_3",7499,"44","",3,"","",""
"6301447_3",7499,"43","",3,"","",""
"6301446_3",7499,"42","",3,"","",""
"6301445_3",7499,"41","",3,"","",""
"6301444_3",7499,"38","",3,"","",""
"6301443_3",7499,"37","",3,"","",""
"6301442_3",7499,"36","",3,"","",""
"6301441_3",7499,"35","",3,"","",""
"6301440_3",7499,"33","",3,"","",""
"6301439_3",7499,"32","",3,"","",""
"6301438_3",7499,"31","",3,"","",""
"6301437_3",7499,"30","",3,"","",""
"6301436_3",7499,"29","",3,"","",""
"6301435_3",7499,"25","",3,"","",""
"6301434_3",7499,"24","",3,"","",""
"6301433_3",7499,"23","",3,"","",""
"6301432_3",7499,"22","",3,"","",""
"6301431_3",7499,"21","",3,"","",""
"de:ZPS:10045112|Bus|503:_700",8938,"503","",700,"","",""
"de:ZPS:10045112|Bus|558:_700",8938,"558","",700,"","",""
"de:ZPS:10045112|Bus|598:_700",8938,"598","",700,"","",""
"de:ZPS:10045113|Bus|579:_700",8938,"579","",700,"","",""
"de:ZPS:10045116|Bus|507A:_700",8938,"507","",700,"","",""
"de:ZPS:10045112|Bus|547:_3",8938,"547","",3,"","",""
"de:ZPS:10045112|Bus|R14:_3",8938,"R14","",3,"","",""
"5664911_3",8938,"R14","",3,"","",""
"de:ZPS:10045112|Bus|597:_3",8938,"597","",3,"","",""
"de:ZPS:10045113|Bus|578:_3",8938,"578","",3,"","",""
"de:ZPS:10045112|Bus|577:_3",8938,"577","",3,"","",""
"de:ZPS:10045114|Bus|562:_3",8938,"562","",3,"","",""
"de:ZPS:10045116|Bus|552:_3",8938,"552","",3,"","",""
"de:ZPS:10045112|Bus|551:_3",8938,"551","",3,"","",""
"de:ZPS:10045112|Bus|507:_3",8938,"507","",3,"","",""
"de:ZPS:10045112|Bus|501:_3",8938,"501","",3,"","",""
"de:ZPS:10041514|Bus|147:_3",8938,"147","",3,"","",""
"de:ZPS:10041514|Bus|147:_700",8938,"147","",700,"","",""
"de:ZPS:07134005|Bus|653:_3",8938,"653","",3,"","",""
"de:ZPS:10045116|Bus|5598:_3",8938,"5598","",3,"","",""
"de:ZPS:10045116|Bus|596:_3",8938,"596","",3,"","",""
"de:ZPS:10045116|Bus|595:_3",8938,"595","",3,"","",""
"de:ZPS:10045116|Bus|594:_3",8938,"594","",3,"","",""
"de:ZPS:10045111|Bus|544:_3",8938,"544","",3,"","",""
"de:ZPS:10045111|Bus|543:_3",8938,"543","",3,"","",""
"de:ZPS:10046111|Bus|652:_3",8938,"652","",3,"","",""
"de:ZPS:10046117|Bus|622:_3",8938,"622","",3,"","",""
"de:ZPS:10046118|Bus|630:_3",8938,"630","",3,"","",""
"de:ZPS:10045117|Bus|X6:_3",8938,"X6","",3,"","",""
"de:ZPS:07235045|Bus|R20:_3",8938,"R20","",3,"","",""
"de:ZPS:10043112|Bus|R12:_3",8938,"R12","",3,"","",""
"de:ZPS:10044112|Bus|R4:_3",8938,"R4","",3,"","",""
"de:ZPS:10046111|Bus|651:_3",8938,"651","",3,"","",""
"de:ZPS:10046117|Bus|626:_3",8938,"626","",3,"","",""
"de:ZPS:10046118|Bus|619:_3",8938,"619","",3,"","",""
"de:ZPS:10046118|Bus|613:_3",8938,"613","",3,"","",""
"de:ZPS:10044112|Bus|611:_3",8938,"611","",3,"","",""
"de:ZPS:10044112|Bus|610:_3",8938,"610","",3,"","",""
"de:ZPS:10043111|Bus|609:_3",8938,"609","",3,"","",""
"de:ZPS:10046112|Bus|608:_3",8938,"608","",3,"","",""
"de:ZPS:10046112|Bus|606:_3",8938,"606","",3,"","",""
"de:ZPS:10046117|Bus|N64:_3",8938,"N64","",3,"","",""
"de:ZPS:10045112|Bus|N52:_3",8938,"N52","",3,"","",""
"de:ZPS:10044123|Bus|N5:_3",8938,"N5","",3,"","",""
"de:ZPS:10041100|Bus|N3:_3",8938,"N3","",3,"","",""
"de:ZPS:10045112|Bus|533:_3",8938,"533","",3,"","",""
"de:ZPS:10045112|Bus|532:_3",8938,"532","",3,"","",""
"de:ZPS:10045112|Bus|531:_3",8938,"531","",3,"","",""
"de:ZPS:10042116|Bus|648:_3",8938,"648","",3,"","",""
"de:ZPS:10046118|Bus|666:_3",8938,"X66","",3,"","",""
"de:ZPS:10041519|Bus|195:_3",8943,"195","",3,"","",""
"de:ZPS:10041513|Bus|N76:_700",8938,"N76","",700,"","",""
"de:ZPS:10041511|Bus|173:_3",8938,"173","",3,"","",""
"de:ZPS:10041513|Bus|148:_700",8938,"148","",700,"","",""
"de:ZPS:10041516|Bus|132:_3",8938,"132","",3,"","",""
"de:ZPS:10041513|Bus|149:_3",8938,"149","",3,"","",""
"de:ZPS:10045112|Bus|535:_3",8938,"535","",3,"","",""
"de:ZPS:10046114|Bus|R11:1_3",8938,"R11","",3,"","",""
"de:ZPS:10046114|Bus|N68:_3",8938,"N68","",3,"","",""
"de:ZPS:10046112|Bus|N67:_3",8938,"N67","",3,"","",""
"de:ZPS:10046118|Bus|N66:_3",8938,"N66","",3,"","",""
"de:ZPS:10046111|Bus|N63:_3",8938,"N63","",3,"","",""
"de:ZPS:10046117|Bus|N62:_3",8938,"N62","",3,"","",""
"de:ZPS:10045113|Bus|N51:_3",8938,"N51","",3,"","",""
"de:ZPS:10046117|Bus|N7:_3",8938,"N7","",3,"","",""
"de:ZPS:10046112|Bus|N6:_3",8938,"N6","",3,"","",""
"de:ZPS:10045115|Bus|N2:_3",8938,"N2","",3,"","",""
"de:ZPS:10041100|Bus|N1:_3",8938,"N1","",3,"","",""
"de:ZPS:10046114|Bus|R11:2_3",8938,"R11","",3,"","",""
"de:ZPS:10041100|Bus|R10:_3",8938,"R10","",3,"","",""
"de:ZPS:10045114|Bus|R7:_3",8938,"R7","",3,"","",""
"de:ZPS:10043114|Bus|R6:_3",8938,"R6","",3,"","",""
"de:ZPS:10046114|Bus|R2:_3",8938,"R2","",3,"","",""
"de:ZPS:10041519|Bus|N34:_3",8939,"N34","",3,"","",""
